country,capoeira popularity
Angola,100
Mozambique,93
Brazil,93
Israel,20
Portugal,17
Bolivia,14
Ecuador,13
Switzerland,12
France,12
Czechia,12
Hungary,12
Peru,11
Poland,10
Colombia,10
Chile,9
Belgium,9
Slovakia,9
Mexico,9
Greece,9
Austria,8
Germany,8
Argentina,8
Italy,7
Sweden,7
Finland,7
Singapore,7
Spain,7
Netherlands,7
Ukraine,7
Denmark,7
Venezuela,6
Russia,6
Romania,6
Algeria,6
Indonesia,5
New Zealand,5
Ireland,5
Norway,5
Canada,5
Philippines,5
United Kingdom,5
United States,5
Australia,5
Japan,4
Malaysia,4
South Africa,4
Turkey,3
Taiwan,2
India,2
Thailand,1