category,all_couples,mixed_unions,non_mixed
Both spouses born in Canada,66.9,25.3,68.9
Both spouses born outside Canada in the same country,18.2,6.0,18.8
Spouses born outside Canada in two different countries,3.7,19.4,3
"One spouse born in Canada, the other in another country",11.2,49.2,9.3
Same religious affiliation,73.6,52.8,74.6
No religious affiliation for either spouse,16.6,20.4,16.5
"One spouse with a religious affiliation, the other with no religious affiliation",8.6,17.3,8.2
Different religious affiliations,1.2,9.5,0.8
,,,
,,,